,0
0,1230
1,1276
2,1290
3,1310
4,1313
5,1326
6,1337
7,1382
8,1395
9,1401
10,1409
11,1423
12,9238
13,9239
14,9240
15,9241
16,9242
17,9243
18,9244
19,9245
20,9246
21,9247
22,9248
23,9767
24,21645
25,21710
26,21712
27,21713
28,23508
29,23558
30,23575
31,23625
32,26241
33,26928
34,26932
35,26936
36,26940
37,27583
38,28931
39,28934
40,28937
41,28940
42,28943
43,28946
44,28949
45,28952
46,28955
47,37849
48,37881
49,37908
50,37920
51,37935
52,37980
53,37995
54,38013
55,38022
56,38383
57,38462
58,38494
59,38504
60,38546
61,38567
62,38608
63,39290
64,39295
65,39302
66,39303
67,40551
68,40558
69,40561
70,41413
71,41450
72,41460
73,44452
74,44458
75,44879
76,44885
77,44892
78,44898
79,44904
80,44911
81,44921
82,44929
83,44935
84,44946
85,46792
86,46809
87,46895
88,46912
89,47604
90,47646
91,47659
92,47719
93,47732
94,47793
95,51646
96,51939
97,51958
98,52387
99,53429
100,53507
101,54809
102,54810
103,54811
104,54812
105,54813
106,54814
107,54815
108,54816
109,54817
110,54818
111,54819
112,54820
113,54821
114,55306
115,55356
116,55443
117,55454
118,58991
119,58992
120,58993
121,58994
122,58995
123,58996
124,58997
125,58998
126,58999
127,59000
128,59001
129,59002
130,59003
131,59004
132,59005
133,59006
134,59007
135,67713
136,67715
137,68311
138,69986
139,69988
140,69989
141,69990
142,69994
143,70481
144,70927
145,71062
146,71076
147,71080
148,71293
149,71339
150,71342
151,71351
152,71381
153,71386
154,71391
155,71396
156,74755
157,74757
158,74759
159,74765
160,74771
161,74773
162,75168
163,75833
164,76970
165,78061
166,78065
167,78069
168,78073
169,78077
170,79125
171,80009
172,80011
173,80014
174,80016
175,80021
176,80027
177,80033
178,80139
179,80140
180,80152
181,80161
182,80173
183,80178
184,80183
185,82535
186,82536
187,82537
188,82538
189,82539
190,82540
191,82541
192,82542
193,82543
194,82544
195,82545
196,82546
197,82547
198,82548
199,82549
200,82550
201,82551
202,82552
203,82553
204,88905
205,88943
206,88947
207,88951
208,88955
209,90666
210,90671
211,90677
212,90685
213,90693
214,90698
215,90707
216,90716
217,90732
218,90740
219,92876
220,94038
221,95419
222,95938
223,97247
224,97281
225,97301
226,97325
227,97330
228,97533
229,97543
230,99423
231,99428
232,102059
233,102062
234,102067
235,102069
236,102070
237,102072
238,102074
239,102075
240,102076
241,102078
242,104890
243,104894
244,104898
245,104902
246,104906
247,104910
248,104914
249,104918
250,104922
251,104926
252,104930
253,104934
254,104938
255,104942
256,104946
257,105545
258,105582
259,107592
260,108086
261,109025
262,109035
263,109041
264,109651
265,113042
266,113109
267,113122
268,113139
269,113156
270,113188
271,113195
272,113216
273,113227
274,113238
275,113261
276,113273
277,113282
278,113291
279,113299
280,113308
281,113320
282,113332
283,113348
284,113360
285,113377
286,115324
287,115384
288,115402
289,116861
290,116865
291,116867
292,116869
293,116871
294,118640
295,119061
296,119078
297,119089
298,119664
299,119686
300,119710
301,121752
302,121848
303,126688
304,128477
305,128483
306,128487
307,128492
308,128497
309,135427
310,135432
311,135446
312,135509
313,135779
314,135920
315,135975
316,136085
317,136154
318,136179
319,136333
320,136375
321,136401
322,137983
323,137997
324,138293
325,138300
326,138301
327,138432
328,138436
329,138440
330,143262
331,143279
332,143373
333,143385
334,143394
335,143552
336,143568
337,143576
338,143584
339,144455
340,151693
341,151694
342,151695
343,151696
344,151700
